policy,asset_id,asset_type,site,event_count,caught_failures,missed_failures,service_visits,carry_in_visits,unnecessary_services,unsuccessful_services,planned_downtime_hours,unplanned_downtime_hours,total_downtime_hours,emergency_repair_cost_cad,planned_service_cost_cad,downtime_cost_cad,total_cost_cad
predictive,AB-056,compressor,Lloydminster,1,1,0,1,0,0,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
predictive,AB-057,pipeline_pump,Peace River,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
predictive,AB-058,pumpjack,Grande Prairie,1,1,0,1,0,0,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
predictive,AB-059,compressor,Red Deer,1,1,0,1,0,0,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
predictive,AB-060,pipeline_pump,Lloydminster,1,1,0,1,0,0,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
predictive,AB-061,pumpjack,Peace River,1,1,0,1,0,0,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
predictive,AB-062,compressor,Grande Prairie,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
predictive,AB-063,pipeline_pump,Red Deer,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
predictive,AB-064,pumpjack,Lloydminster,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
predictive,AB-065,compressor,Peace River,1,1,0,1,0,0,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
predictive,AB-066,pipeline_pump,Grande Prairie,1,1,0,1,0,0,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
predictive,AB-067,pumpjack,Red Deer,1,1,0,1,0,0,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
predictive,AB-068,compressor,Lloydminster,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
predictive,AB-069,pipeline_pump,Peace River,1,1,0,1,0,0,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
predictive,AB-070,pumpjack,Grande Prairie,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
predictive,AB-071,compressor,Red Deer,1,1,0,1,0,0,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
predictive,AB-072,pipeline_pump,Lloydminster,1,1,0,1,0,0,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
predictive,AB-073,pumpjack,Peace River,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
predictive,AB-074,compressor,Grande Prairie,0,0,0,1,0,1,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
predictive,AB-075,pipeline_pump,Red Deer,1,1,0,1,0,0,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
predictive,AB-076,pumpjack,Lloydminster,1,0,1,1,0,0,1,4,93.1,97.1,25040.09,1600,63114.99999999999,89755.09
predictive,AB-077,compressor,Peace River,1,1,0,1,0,0,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
predictive,AB-078,pipeline_pump,Grande Prairie,1,1,0,1,0,0,0,6,0.0,6.0,0.0,2400,5700.0,8100.0
predictive,AB-079,pumpjack,Red Deer,1,1,0,1,0,0,0,4,0.0,4.0,0.0,1600,2600.0,4200.0
predictive,AB-080,compressor,Lloydminster,0,0,0,1,0,1,0,8,0.0,8.0,0.0,4000,11200.0,15200.0
